URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614252;[Alice Halicka] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Juillet 1927];1927;Alice Halicka est ici photographiée dans son appartement, 61, rue Caulaincourt, 18e arr.;Halicka, Alice (1894 -1975) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-02234
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001613910;[Léonard Foujita] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1924];1924;Léonard Foujita est ici photographié dans son atelier parisien, 5, rue Delambre, 14e arr.;Foujita, Léonard (1886-1968) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-00137
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001615620;[Exposition internationale des Arts et techniques de 1937. Pavillon de l'Aéronautique. Avion Caudron Renault suspendu. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-01987
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616007;Auguste Maillard : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Novembre 1929];1929;Auguste Maillard est ici photographié dans son atelier, 112, boulevard Malesherbes, 17e arr.;Maillard, Auguste (1864-....) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-00173-bis
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616251;[Exposition internationale des Arts et techniques de 1937. Pavillon de l'Espagne. Façade principale. ] : [photographie];images;Bonney , Thérèse (1894 -1978 );;1937;1937;;Exposition internationale. 1937. Paris ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, 4C-EPF-006-02067
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614406;Alexandre Iacovleff : [photographie];images;Bonney , Thérèse (1894 -1978 );;[1931];1931;Alexandre Iacovleff est ici photographié dans son appartement, 11, avenue Junot, 18e arr.;Âkovlev, Aleksandr Evgenʹevič (1887-1938) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-12243
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001614253;[Alice Halicka] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Juillet 1927];1927;Alice Halicka est ici photographiée dans son appartement, 61, rue Caulaincourt, 18e arr.;Halicka, Alice (1894 -1975) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-02235
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001635700;[Affiches. Coquillage. Illustré par Zinoview] : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Entre 1920 et 1940];1920;;Zinoview, Alexandre (1889-1977) ¤ Affiches -- France -- 20e siècle ¤ Art publicitaire -- France -- 20e siècle ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-04583
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001616008;Auguste Maillard : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Novembre 1929];1929;Auguste Maillard est ici photographié dans son atelier, 112, boulevard Malesherbes, 17e arr.;Maillard, Auguste (1864-....) ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NV-006-00174-bis
https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001620337;Suzanne Talbot : [photographie];images;Bonney , Thérèse (1894 -1978 );;[Février 1930];1930;Suzanne Talbot est ici photographiée dans son hôtel particulier, 9, rue de Lota, 16e arr.;Talbot, Suzanne ¤ Portraits ¤ Photographie;Bibliothèques spécialisées de la Ville de Paris;;UCBerkeley;;;0.0;The Bancroft Library, University of California, Berkeley / Ville de Paris / BHVP, NN-006-09589
